City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aripuana,-9.1667,-60.6333,22.44,95,49,0.6,BR,1702190382
83,poptun,16.3311,-89.4169,19.51,98,97,1.22,GT,1702190411
84,vilyuchinsk,52.9306,158.4028,2.15,99,100,7.17,RU,1702190411
85,dammam,26.4344,50.1033,21.06,88,0,3.6,SA,1702190412
86,keflavik,64.0049,-22.5624,0.24,93,75,2.57,IS,1702190413
87,poretskoye,55.1974,46.3291,-19.06,85,75,3.98,RU,1702190414
88,qorveh,35.1664,47.8045,8.58,47,1,4.13,IR,1702190414
89,hithadhoo,-0.6,73.0833,27.78,75,34,1.22,MV,1702190414
90,kodiak,57.79,-152.4072,-8.27,79,0,3.6,US,1702190414
91,queenstown,-31.8976,26.8753,11.33,88,100,2.77,ZA,1702189866
92,mehdia daira de meghila,35.4306,1.7571,4.47,67,91,2.47,DZ,1702190415
93,saint-philippe,-21.3585,55.7679,29.51,85,97,6.1,RE,1702190416
94,la'ie,21.6477,-157.9253,23.95,75,17,2.68,US,1702190416
95,sinop,41.7711,34.8709,6.68,88,100,4.06,TR,1702190416
96,ubari,26.5921,12.7805,12.1,74,44,8.8,LY,1702190416
97,rijau,11.103,5.2507,20.49,17,75,2.85,NG,1702190417
98,aliade,7.2964,8.487,24.61,61,0,1.91,NG,1702190417
99,labrador city,52.9463,-66.9114,-5.05,74,100,1.54,CA,1702190410
100,east end,34.5507,-92.341,9.94,58,89,0.89,US,1702190417
101,mahina,-17.5065,-149.489,26.87,78,40,2.06,PF,1702190417
102,poso,-1.3959,120.7524,29.93,69,100,1.75,ID,1702190418
103,hawaiian paradise park,19.5933,-154.9731,23.35,96,75,2.06,US,1702190418
104,christchurch,-43.5333,172.6333,14.95,52,100,5.66,NZ,1702190288
105,el granada,37.5027,-122.4694,12.17,53,0,2.57,US,1702190419
106,port elizabeth,-33.918,25.5701,19.06,80,75,5.66,ZA,1702190420
107,koutiala,12.3917,-5.4642,20.77,17,93,3.69,ML,1702190421
108,isnos,1.9356,-76.2406,14.82,97,77,1.35,CO,1702190421
109,ilulissat,69.2167,-51.1,-4.99,68,100,4.63,GL,1702190422
110,coahuayana de hidalgo,18.7,-103.6583,24.12,73,99,2.06,MX,1702190422
111,atafu village,-8.5421,-172.5159,27.59,84,100,9.96,TK,1702190422
112,cottage grove,44.8277,-92.9438,-2.83,81,100,7.2,US,1702190422
113,khadan khak,30.7477,67.7085,13.36,14,0,3.7,PK,1702190423
114,chonchi,-42.6128,-73.8092,7.56,91,58,0.84,CL,1702190423
115,sola,-13.8833,167.55,26.73,79,100,8.63,VU,1702190423
116,college,64.8569,-147.8028,-26.97,71,20,0.0,US,1702190424
117,puerto leguizamo,-0.1934,-74.7819,22.76,100,100,0.34,CO,1702190424
118,la ronge,55.1001,-105.2842,-15.86,85,0,1.03,CA,1702190425
119,greymouth,-42.4667,171.2,12.94,67,0,3.1,NZ,1702190425
120,touros,-5.1989,-35.4608,26.81,67,100,6.03,BR,1702190425
121,nossa senhora das dores,-10.4917,-37.1933,21.21,95,100,1.89,BR,1702190425
